timestamp_ns,side,price,qty,action
1700000000100,BID,100.00,15,INSERT
1700000000200,ASK,100.50,20,INSERT
1700000000300,BID,101.00,25,INSERT
1700000000400,ASK,100.70,30,INSERT
1700000000500,BID,101.20,35,INSERT
1700000000600,ASK,101.50,40,INSERT
1700000000700,BID,100.00,10,INSERT
1700000000800,ASK,100.50,15,INSERT
1700000000900,BID,101.00,20,INSERT
1700000001000,ASK,100.70,25,INSERT
1700000001100,BID,101.20,30,INSERT
1700000001200,ASK,101.50,35,INSERT
1700000001300,BID,100.00,40,INSERT
1700000001400,ASK,100.50,10,INSERT
1700000001500,BID,101.00,15,INSERT
1700000001600,ASK,100.70,20,INSERT
1700000001700,BID,101.20,25,INSERT
1700000001800,ASK,101.50,30,INSERT
1700000001900,BID,100.00,35,INSERT
1700000002000,ASK,100.50,40,INSERT
1700000002100,BID,101.00,10,INSERT
1700000002200,ASK,100.70,15,INSERT
1700000002300,BID,101.20,20,INSERT
1700000002400,ASK,101.50,25,INSERT
1700000002500,BID,100.00,30,INSERT
1700000002600,ASK,100.50,35,INSERT
1700000002700,BID,101.00,40,INSERT
1700000002800,ASK,100.70,10,INSERT
1700000002900,BID,101.20,15,INSERT
1700000003000,ASK,101.50,20,INSERT
1700000003100,BID,100.00,25,INSERT
1700000003200,ASK,100.50,30,INSERT
1700000003300,BID,101.00,35,INSERT
1700000003400,ASK,100.70,40,INSERT
1700000003500,BID,101.20,10,INSERT
1700000003600,ASK,101.50,15,INSERT
1700000003700,BID,100.00,20,INSERT
1700000003800,ASK,100.50,25,INSERT
1700000003900,BID,101.00,30,INSERT
1700000004000,ASK,100.70,35,INSERT
1700000004100,BID,101.20,40,INSERT
1700000004200,ASK,101.50,10,INSERT
1700000004300,BID,100.00,15,INSERT
1700000004400,ASK,100.50,20,INSERT
1700000004500,BID,101.00,25,INSERT
1700000004600,ASK,100.70,30,INSERT
1700000004700,BID,101.20,35,INSERT
1700000004800,ASK,101.50,40,INSERT
1700000004900,BID,100.00,10,INSERT
1700000005000,ASK,100.50,15,INSERT
1700000005100,BID,101.00,20,INSERT
1700000005200,ASK,100.70,25,INSERT
1700000005300,BID,101.20,30,INSERT
1700000005400,ASK,101.50,35,INSERT
1700000005500,BID,100.00,40,INSERT
1700000005600,ASK,100.50,10,INSERT
1700000005700,BID,101.00,15,INSERT
1700000005800,ASK,100.70,20,INSERT
1700000005900,BID,101.20,25,INSERT
1700000006000,ASK,101.50,30,INSERT
1700000006100,BID,100.00,35,INSERT
1700000006200,ASK,100.50,40,INSERT
1700000006300,BID,101.00,10,INSERT
1700000006400,ASK,100.70,15,INSERT
1700000006500,BID,101.20,20,INSERT
1700000006600,ASK,101.50,25,INSERT
1700000006700,BID,100.00,30,INSERT
1700000006800,ASK,100.50,35,INSERT
1700000006900,BID,101.00,40,INSERT
1700000007000,ASK,100.70,10,INSERT
1700000007100,BID,101.20,15,INSERT
1700000007200,ASK,101.50,20,INSERT
1700000007300,BID,100.00,25,INSERT
1700000007400,ASK,100.50,30,INSERT
1700000007500,BID,101.00,35,INSERT
1700000007600,ASK,100.70,40,INSERT
1700000007700,BID,101.20,10,INSERT
1700000007800,ASK,101.50,15,INSERT
1700000007900,BID,100.00,20,INSERT
1700000008000,ASK,100.50,25,INSERT
1700000008100,BID,101.00,30,INSERT
1700000008200,ASK,100.70,35,INSERT
1700000008300,BID,101.20,40,INSERT
1700000008400,ASK,101.50,10,INSERT
1700000008500,BID,100.00,15,INSERT
1700000008600,ASK,100.50,20,INSERT
1700000008700,BID,101.00,25,INSERT
1700000008800,ASK,100.70,30,INSERT
1700000008900,BID,101.20,35,INSERT
1700000009000,ASK,101.50,40,INSERT
1700000009100,BID,100.00,10,INSERT
1700000009200,ASK,100.50,15,INSERT
1700000009300,BID,101.00,20,INSERT
1700000009400,ASK,100.70,25,INSERT
1700000009500,BID,101.20,30,INSERT
1700000009600,ASK,101.50,35,INSERT
1700000009700,BID,100.00,40,INSERT
1700000009800,ASK,100.50,10,INSERT
1700000009900,BID,101.00,15,INSERT
1700000010000,ASK,100.70,20,INSERT
1700000010100,BID,101.20,25,INSERT
1700000010200,ASK,101.50,30,INSERT
1700000010300,BID,100.00,35,INSERT
1700000010400,ASK,100.50,40,INSERT
1700000010500,BID,101.00,10,INSERT
1700000010600,ASK,100.70,15,INSERT
1700000010700,BID,101.20,20,INSERT
1700000010800,ASK,101.50,25,INSERT
1700000010900,BID,100.00,30,INSERT
1700000011000,ASK,100.50,35,INSERT
1700000011100,BID,101.00,40,INSERT
1700000011200,ASK,100.70,10,INSERT
1700000011300,BID,101.20,15,INSERT
1700000011400,ASK,101.50,20,INSERT
1700000011500,BID,100.00,25,INSERT
1700000011600,ASK,100.50,30,INSERT
1700000011700,BID,101.00,35,INSERT
1700000011800,ASK,100.70,40,INSERT
1700000011900,BID,101.20,10,INSERT
1700000012000,ASK,101.50,15,INSERT
1700000012100,ASK,100.00,15,UPDATE
1700000012200,ASK,100.50,15,UPDATE
1700000012300,BID,101.00,15,UPDATE
1700000012400,ASK,100.70,15,UPDATE
1700000012500,ASK,101.20,25,UPDATE
1700000012600,BID,101.50,15,UPDATE
1700000012700,ASK,100.00,15,UPDATE
1700000012800,ASK,100.50,15,UPDATE
